,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_dim,params_latent_dim,params_learning_rate,params_patience,state
138,138,0.08852141348159864,2024-12-26 00:46:48.014530,2024-12-26 03:47:42.094519,0 days 03:00:54.079989,8,448,128,0.0005185363301688258,10,COMPLETE
139,139,0.08828327310968097,2024-12-26 00:55:24.017282,2024-12-26 02:16:13.109301,0 days 01:20:49.092019,8,448,128,0.0019710669869277453,10,COMPLETE
140,140,0.08669360428109389,2024-12-26 01:00:34.168601,2024-12-26 04:02:16.122003,0 days 03:01:41.953402,8,448,128,0.0005545180076547954,10,COMPLETE
141,141,0.09402244796334695,2024-12-26 01:08:03.829471,2024-12-26 03:18:46.781793,0 days 02:10:42.952322,8,448,128,0.0019633178721306325,10,COMPLETE
142,142,0.08926182158072204,2024-12-26 01:33:10.977598,2024-12-26 04:36:14.704476,0 days 03:03:03.726878,8,448,128,0.000492615069414392,10,COMPLETE
143,143,0.0867570534645885,2024-12-26 01:35:01.982901,2024-12-26 02:53:17.904620,0 days 01:18:15.921719,8,512,32,0.00048266344619293827,6,COMPLETE
144,144,0.08645898617115341,2024-12-26 01:40:45.427168,2024-12-26 04:36:54.123947,0 days 02:56:08.696779,8,512,32,0.00017312706472895977,6,COMPLETE
145,145,,2024-12-26 01:43:48.644646,2024-12-26 02:02:19.210296,0 days 00:18:30.565650,8,512,32,0.07757233054842605,6,FAIL
146,146,0.08787939099579298,2024-12-26 01:59:44.717478,2024-12-26 05:05:06.764668,0 days 03:05:22.047190,8,512,32,0.0027523955109208173,6,COMPLETE
147,147,0.08830466643445381,2024-12-26 02:00:55.883984,2024-12-26 03:44:14.964231,0 days 01:43:19.080247,8,512,32,0.002895411132173907,6,COMPLETE
148,148,0.09004012478844207,2024-12-26 02:02:19.210296,2024-12-26 04:24:25.865416,0 days 02:22:06.655120,8,512,32,0.0030229157640084534,6,COMPLETE
149,149,0.08720390052542466,2024-12-26 02:03:46.722504,2024-12-26 04:05:49.979398,0 days 02:02:03.256894,8,512,32,0.0001690515048813915,6,COMPLETE
150,150,0.08889423252059882,2024-12-26 02:06:25.264595,2024-12-26 02:49:09.337238,0 days 00:42:44.072643,8,512,32,0.0027968589220723266,6,COMPLETE
151,151,0.08924872343655393,2024-12-26 02:16:13.109301,2024-12-26 03:35:55.280509,0 days 01:19:42.171208,8,512,32,0.002886127716199031,9,COMPLETE
152,152,0.08867242803186678,2024-12-26 02:26:39.619083,2024-12-26 05:29:02.410995,0 days 03:02:22.791912,8,512,32,0.0007668783562211737,9,COMPLETE
153,153,0.0885529658686714,2024-12-26 02:49:09.352869,2024-12-26 05:50:21.576119,0 days 03:01:12.223250,8,512,32,0.0003345848443310457,9,COMPLETE
154,154,0.08732499723017466,2024-12-26 02:53:17.904620,2024-12-26 05:56:11.181288,0 days 03:02:53.276668,8,512,64,0.00018711754496034106,9,COMPLETE
155,155,0.08783422257093822,2024-12-26 03:03:58.710217,2024-12-26 05:29:09.633059,0 days 02:25:10.922842,8,512,64,0.0003280226120060331,4,COMPLETE
156,156,0.08764957185803342,2024-12-26 03:18:46.781793,2024-12-26 06:20:35.605646,0 days 03:01:48.823853,8,512,64,0.0014004349786382309,9,COMPLETE
157,157,0.08827802350259378,2024-12-26 03:35:41.167356,2024-12-26 06:34:20.475388,0 days 02:58:39.308032,8,512,64,0.00017798269368293892,9,COMPLETE
158,158,0.09265866607991087,2024-12-26 03:35:55.296150,2024-12-26 03:52:10.066330,0 days 00:16:14.770180,8,512,64,0.0007887675392155707,4,COMPLETE
159,159,0.08957594901542454,2024-12-26 03:44:14.964231,2024-12-26 05:33:44.407718,0 days 01:49:29.443487,8,512,32,0.0007626543897555992,6,COMPLETE
160,160,0.08767151406833104,2024-12-26 03:47:42.094519,2024-12-26 05:13:22.149981,0 days 01:25:40.055462,8,512,32,0.0003263104029792892,4,COMPLETE
161,161,0.0882801518720739,2024-12-26 03:47:42.360076,2024-12-26 05:27:51.965651,0 days 01:40:09.605575,8,512,32,0.0003464352205746593,6,COMPLETE
162,162,0.08710473810299103,2024-12-26 03:52:10.081941,2024-12-26 06:48:38.528486,0 days 02:56:28.446545,8,512,32,0.0014952690090552139,6,COMPLETE
163,163,0.08954511899031511,2024-12-26 04:02:16.137599,2024-12-26 06:26:21.518219,0 days 02:24:05.380620,8,512,128,0.0003496993292913727,9,COMPLETE
